Rank,Name,Net Worth,Age,Country/Territory,Source of Income
1,Elon Musk,$283.6 B,50,United States,"Tesla, SpaceX"
2,Jeff Bezos,$209.6 B,57,United States,Amazon
3,Bernard Arnault & family,$198.9 B,72,France,LVMH
4,Bill Gates,$139.2 B,66,United States,Microsoft
5,Larry Ellison,$128.0 B,77,United States,software
6,Larry Page,$128.0 B,48,United States,Google
7,Sergey Brin,$123.3 B,48,United States,Google
8,Mark Zuckerberg,$121.0 B,37,United States,Facebook
9,Steve Ballmer,$107.2 B,65,United States,Microsoft
10,Warren Buffett,$102.4 B,91,United States,Berkshire Hathaway
